treat;selection;outcome
1;1;1.731655545
1;1;1.17603756
1;1;1.704748092
0;1;1.776011112
1;1;2.014903021
0;1;1.981001469
1;1;2.079441542
1;0;0
1;0;0
1;0;0
0;1;1.547562509
0;0;0
1;1;1.638996715
1;1;2.708050201
1;0;0
0;1;2.197224577
1;0;0
1;0;0
0;0;0
1;0;0
1;1;1.635525247
1;0;0
1;0;0
0;0;0
1;0;0
1;1;1.868949108
1;1;2.302585093
1;1;1.147402453
0;1;2.050270164
0;0;0
1;0;0
1;0;0
0;0;0
1;0;0
0;0;0
0;0;0
1;1;2.118662255
1;0;0
1;0;0
1;1;2.246014742
0;1;1.731655545
1;0;0
1;1;1.749199855
1;1;1.981001469
1;0;0
0;1;2.128231706
1;0;0
0;1;0
1;1;1.788778841
0;0;0
1;1;2.261763098
1;1;1.427116356
0;0;0
1;0;0
0;0;0
0;0;0
0;0;0
1;0;0
1;0;0
0;0;0
1;0;0
1;1;1.791759469
1;0;0
1;1;1.945910149
1;1;1.945910149
0;1;2.302585093
1;1;2.246014742
0;0;0
1;0;0
0;1;1.704748092
1;1;1.832581464
1;0;0
1;1;2.424641956
0;0;0
0;0;0
0;1;1.16315081
1;1;1.724318188
1;0;0
1;1;1.638996715
1;0;0
0;1;2.197224577
1;1;2.014903021
1;1;1.731655545
0;0;0
1;0;0
1;0;0
1;1;2.215573716
1;1;1.945910149
1;0;0
1;0;0
1;1;1.791759469
0;0;0
0;1;2.302585093
1;0;0
1;1;1.886839675
1;0;0
0;1;1.977547234
0;0;0
0;1;2.277267285
1;1;1.638996715
1;1;2.014903021
1;1;2.48490665
1;0;0
1;1;1.945910149
1;0;0
1;0;0
0;0;0
1;1;2.197224577
0;0;0
1;1;2.140066163
0;1;2.302585093
0;0;0
1;0;0
0;0;0
1;0;0
1;0;0
0;0;0
1;1;2.708050201
1;0;0
0;0;0
1;0;0
0;1;1.434854552
1;0;0
0;0;0
1;0;0
1;1;2.140066163
1;1;1.909542505
1;1;2.120263536
1;0;0
1;0;0
1;1;1.759703504
1;0;0
0;0;0
1;0;0
0;0;0
1;1;1.945910149
1;1;1.871802177
1;0;0
1;1;1.658228077
1;1;2.014903021
1;1;1.609437912
1;0;0
0;1;2.079441542
1;0;0
0;0;0
1;0;0
1;0;0
0;1;1.695615609
0;0;0
1;1;2.224623552
1;0;0
0;1;1.609437912
1;1;2.014903021
1;1;1.704748092
1;0;0
1;1;2.351375257
0;1;1.870262531
1;1;2.224623552
0;0;0
1;0;0
1;0;0
1;0;0
1;0;0
0;1;1.658228077
1;0;0
1;1;1.638996715
0;0;0
0;0;0
1;0;0
0;0;0
1;0;0
0;0;0
1;0;0
1;1;2.145931283
1;1;2.197224577
1;1;2.272125886
1;0;0
0;1;2.302585093
1;1;0
1;0;0
1;1;1.832581464
1;1;1.945910149
1;0;0
0;1;1.861265424
0;0;0
1;1;2.079441542
1;1;1.981001469
1;1;1.658228077
1;0;0
0;1;2.079441542
1;0;0
1;1;2.079441542
0;0;0
1;0;0
1;1;2.014903021
1;1;1.791759469
1;1;2.1102132
0;1;2.079441542
1;1;1.638996715
0;1;2.349786694
1;1;2.014903021
0;0;0
0;1;2.079441542
1;1;1.78339122
0;0;0
0;1;1.83316127
1;0;0
1;1;2.073171929
1;0;0
0;0;0
1;1;2.302585093
0;0;0
0;1;1.658228077
1;1;2.261763098
1;1;2.140066163
1;0;0
0;0;0
0;0;0
1;0;0
1;1;2.140066163
1;0;0
0;1;1.897119985
1;0;0
1;1;1.791759469
0;0;0
1;0;0
1;1;2.302585093
0;0;0
1;1;1.945910149
0;1;1.874874376
1;1;2.079441542
1;0;0
1;1;1.635105659
0;1;2.302585093
1;0;0
0;1;1.871802177
1;0;0
1;0;0
0;1;2.442347035
1;1;2.77825446
0;1;2.183801557
0;0;0
1;1;1.658228077
1;0;0
0;1;2.525728644
1;0;0
1;1;1.832581464
1;1;1.904902125
0;0;0
0;1;0
1;0;0
0;0;0
0;1;2.014903021
1;0;0
1;0;0
0;1;0
1;1;1.791759469
0;1;0
1;0;0
1;1;2.079441542
1;1;1.93562984
1;1;2.079441542
1;1;0
1;0;0
0;0;0
1;1;1.945910149
0;0;0
1;1;1.749199855
1;0;0
